Test Cases - Orage HRM							
Project Name	Openkart Login & Register Page						
Module Name	Login & Register Module						
Created By	Ankit Kumar						
Created Date	6-Oct-25						
Peer Review By	Akash Gupta (Dev)						
Peer Reviewed	Pending						
							
REGISTRATION PAGE							
test case id	test case title	pre condition	steps to execute	expected result	actual result	status	executed qa name
REG-001	Verify that with valid username, first name, last name, email, password, and country, registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid username (e.g., rahuldas123), first name (Rahul), last name (Das), email (rahuldas12@gmail.com), password (Rahul12345@), select country from dropdown; Solve CAPTCHA; Click Register	With valid details, registration should succeed and redirect to dashboard	With valid details, registration is succeeding as expected	Passed	Ankit Kumar
REG-002	Verify that with case-insensitive first name and last name (mixed case), registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid username, first name (RahuL), last name (daS), email, password; Select country; Solve CAPTCHA; Click Register	With mixed-case names, registration should accept inputs and succeed	With mixed-case names, registration is accepting inputs as expected	Passed	Ankit Kumar
REG-003	Verify that with alphabetic first name and last name, registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid username, first name (rahul), last name (Das), email, password; Select country; Solve CAPTCHA; Click Register	With alphabetic names, registration should accept inputs and succeed	With alphabetic names, registration is accepting inputs as expected	Passed	Ankit Kumar
REG-004	Verify that with spaces in first name (e.g., multiple words), registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid username, first name (Rahul Chandra), last name (Das), email, password; Select country; Solve CAPTCHA; Click Register	With spaces in names, registration should accept inputs and succeed	With spaces in names, registration is accepting inputs as expected	Passed	Ankit Kumar
REG-005	Verify that with valid email address, registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid username, names, email (rahul758493@gmail.com), password; Select country; Solve CAPTCHA; Click Register	With valid email, registration should accept input and succeed	With valid email, registration is accepting input as expected	Passed	Ankit Kumar
REG-006	Verify that with valid password meeting requirements (e.g., strong), registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid details, password (Rahuldas@1234); Select country; Solve CAPTCHA; Click Register	With valid password, registration should accept and succeed	With valid password, registration is accepting as expected	Passed	Ankit Kumar
REG-007	Verify that country dropdown selection should work during registration	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid details; Select a country from dropdown; Solve CAPTCHA; Click Register	Country dropdown should display options and allow selection for successful registration	Country dropdown is displaying and allowing selection as expected	Passed	Ankit Kumar
REG-008	Verify that with correct CAPTCHA, registration should work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter valid details; Solve correct CAPTCHA; Click Register	With correct CAPTCHA, registration button should activate and succeed	With correct CAPTCHA, registration is succeeding as expected	Passed	Ankit Kumar
REG-009	Verify that all fields blank on load, registration form should display properly	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Verify all fields are blank initially	All fields should be blank on initial load	All fields are blank as expected	Passed	Ankit Kumar
REG-010	Verify that mandatory fields blank, registration should not work and show errors	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Leave mandatory fields blank; Click Register	Registration should fail with error messages for blank mandatory fields	Registration is failing with errors as expected	Passed	Ankit Kumar
REG-011	Verify that with leading blank in first name, registration should not work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter first name with leading space (e.g., ' Das'); Fill other valid details; Click Register	Registration should fail with error for invalid name	Registration is failing with error as expected	Passed	Ankit Kumar
REG-012	Verify that with trailing blank in first name, registration should not work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter first name with trailing space (e.g., 'Rahul '); Fill other valid details; Click Register	Registration should fail with error for invalid name	Registration is failing with error as expected	Passed	Ankit Kumar
REG-013	Verify that with special characters in names, registration should not work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter names with special chars (e.g., Rahul@#%, das &%$@); Fill other valid details; Click Register	Registration should fail with error for invalid names	Registration is failing with error, but allowing some chars unexpectedly	Failed	Ankit Kumar
REG-014	Verify that with numeric names, registration should not work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter numeric names (e.g., 0124565, 125463); Fill other valid details; Click Register	Registration should fail with error for invalid names	Registration is failing with error, but allowing numbers unexpectedly	Failed	Ankit Kumar
REG-015	Verify that with decimal in names, registration should not work	User is on the OpenCart homepage and not logged in	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on Register; Enter decimal names (e.g., 10.214.46, 24.56); Fill other valid details; Click Register	Registration should fail with error for invalid names	Registration is failing with error, but allowing decimals unexpectedly	Failed	Ankit Kumar
							
LOGIN PAGE							
test case id	test case title	pre condition	steps to execute	expected result	actual result	status	executed qa name
LOG-001	Verify that with valid email and password, login should work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter valid email (rahul12@gmail.com), password (Rahul12345@); Click Login	With valid credentials, login should succeed and redirect to dashboard	With valid credentials, login is succeeding as expected	Passed	Ankit Kumar
LOG-002	Verify that forgot password link should work and allow reset	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Click Forgot Password; Enter valid email; Submit	Forgot password should send reset link to email	Forgot password is sending reset link as expected	Passed	Ankit Kumar
LOG-003	Verify that create account hyperlink on login page should work	User is on the login page	Navigate to https://www.opencart.com; Click on Log in at the top right; Click on 'Create an OpenCart account' hyperlink	Hyperlink should redirect to registration page	Hyperlink is redirecting as expected	Passed	Ankit Kumar
LOG-004	Verify that all fields blank, login should not work	User is on the OpenCart homepage	Navigate to https://www.opencart.com; Click on Log in at the top right; Leave fields blank; Click Login	Login should fail with error messages	Login is failing with errors as expected	Passed	Ankit Kumar
LOG-005	Verify that with invalid email and password, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter invalid email (rahulbcgdn@gmail.com), invalid password (Rahul12345); Click Login	Login should fail with error message	Login is failing, but error message not specific	Failed	Ankit Kumar
LOG-006	Verify that with invalid email domain, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter invalid domain email (abcmia@gmail.c), password (Abcmia1234); Click Login	Login should fail with error for invalid email	Login is failing with error as expected	Passed	Ankit Kumar
LOG-007	Verify that with valid email and invalid password, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter valid email (rahul12@gmail.com), invalid password (Abcmia123); Click Login	Login should fail with error for invalid password	Login is failing with error as expected	Passed	Ankit Kumar
LOG-008	Verify that with blank email and valid password, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Leave email blank, enter password (Abcmia1234); Click Login	Login should fail with error for blank email	Login is failing with error as expected	Passed	Ankit Kumar
LOG-009	Verify that with valid email and blank password, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter email (abcmia@gmail.com), leave password blank; Click Login	Login should fail with error for blank password	Login is failing with error as expected	Passed	Ankit Kumar
LOG-010	Verify that with invalid password variant, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter valid email (rahul12@gmail.com), invalid variant password (Abcnbv1234); Click Login	Login should fail with error for invalid password	Login is failing with error as expected	Passed	Ankit Kumar
LOG-011	Verify that with alphanumerical invalid email, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter alphanumerical invalid email (hgafdshjsdhs); Click Login	Login should fail with error for invalid email	Login is failing with error as expected	Passed	Ankit Kumar
LOG-012	Verify that with numeric invalid email, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter numeric invalid email (1254562645); Click Login	Login should fail with error for invalid email	Login is failing with error as expected	Passed	Ankit Kumar
LOG-013	Verify that with duplicate email attempt post-registration, login should work only with original	User has just registered	Navigate to https://www.opencart.com; Attempt register with duplicate email (rahul758493@gmail.com); If fails, use original for login	Duplicate email should prevent new registration, original login should work	Duplicate prevents registration, original login works as expected	Passed	Ankit Kumar
LOG-014	Verify that with invalid email format, login should not work	User has a registered OpenCart account	Navigate to https://www.opencart.com; Click on Log in at the top right; Enter invalid format email (rahul@ggg@gmail.com); Click Login	Login should fail with error for invalid email	Login is failing with error as expected	Passed	Ankit Kumar
LOG-015	Verify that with weak password post-reset, login should work if valid	User has reset password	Navigate to https://www.opencart.com; Use reset link to set weak but valid password; Attempt login with new password	If valid per rules, login should succeed	Login is succeeding with valid weak password as expected	Passed	Ankit Kumar
